Gene_ID,Gene,Immature_Ery
ENSGALG00010000007.1,ND1,137
ENSGALG00010000011.1,ND2,74
ENSGALG00010000017.1,COX1,741
ENSGALG00010000020.1,COX2,491
ENSGALG00010000022.1,ATP8,32
ENSGALG00010000023.1,ATP6,198
ENSGALG00010000024.1,COX3,438
ENSGALG00010000026.1,ND3,16
ENSGALG00010000028.1,ND4L,8
ENSGALG00010000029.1,ND4,104
ENSGALG00010000033.1,ND5,138
ENSGALG00010000034.1,CYTB,154
ENSGALG00010000037.1,ND6,15
ENSGALG00010000039.1,PDIA3,115
ENSGALG00010000040.1,ENSGALG00010000040.1,0
ENSGALG00010000041.1,ENSGALG00010000041.1,0
ENSGALG00010000042.1,CKMT1B,0
ENSGALG00010000043.1,PPIP5K1,1
ENSGALG00010000044.1,MAP1A,0
ENSGALG00010000045.1,TP53BP1,103
ENSGALG00010000046.1,TUBGCP4,9
ENSGALG00010000047.1,IQGAP1,7
ENSGALG00010000048.1,MAN2A2,380
ENSGALG00010000049.1,FES,553
ENSGALG00010000050.1,CIB1,394.01
ENSGALG00010000051.1,GDPGP1,44.989
ENSGALG00010000052.1,TTLL13,31
ENSGALG00010000053.1,HDDC3,20
ENSGALG00010000054.1,VPS33B,247
ENSGALG00010000055.1,PRC1,192
ENSGALG00010000056.1,UNC45A,1821
ENSGALG00010000057.1,ENSGALG00010000057.1,52
ENSGALG00010000058.1,FURIN,1487
ENSGALG00010000059.1,MFAP1,67
ENSGALG00010000060.1,HYPK,14
ENSGALG00010000061.1,SERINC4,15
ENSGALG00010000062.1,ENSGALG00010000062.1,5
ENSGALG00010000063.1,SERF2,0
ENSGALG00010000069.1,ENSGALG00010000069.1,0
ENSGALG00010000071.1,ENSGALG00010000071.1,0
ENSGALG00010000075.1,ENSGALG00010000075.1,15.425
ENSGALG00010000076.1,ENSGALG00010000076.1,67
ENSGALG00010000078.1,ENSGALG00010000078.1,0
ENSGALG00010000079.1,ENSGALG00010000079.1,16.52
ENSGALG00010000080.1,ENSGALG00010000080.1,0
ENSGALG00010000081.1,ENSGALG00010000081.1,0
ENSGALG00010000082.1,ENSGALG00010000082.1,2
ENSGALG00010000083.1,ENSGALG00010000083.1,0
ENSGALG00010000084.1,ENSGALG00010000084.1,1
ENSGALG00010000085.1,ENSGALG00010000085.1,2
ENSGALG00010000088.1,ENSGALG00010000088.1,43.682
ENSGALG00010000089.1,ENSGALG00010000089.1,55.917
ENSGALG00010000091.1,ENSGALG00010000091.1,15
ENSGALG00010000092.1,INPPL1,0
ENSGALG00010000093.1,ENSGALG00010000093.1,0
ENSGALG00010000098.1,ENSGALG00010000098.1,14
ENSGALG00010000101.1,ENSGALG00010000101.1,0
ENSGALG00010000105.1,CACNA1F,21
ENSGALG00010000106.1,ENSGALG00010000106.1,2
ENSGALG00010000107.1,ENSGALG00010000107.1,5.662
ENSGALG00010000111.1,ENSGALG00010000111.1,0
ENSGALG00010000118.1,ENSGALG00010000118.1,3
ENSGALG00010000121.1,ENSGALG00010000121.1,67
ENSGALG00010000123.1,ENSGALG00010000123.1,0
ENSGALG00010000124.1,ENSGALG00010000124.1,0
ENSGALG00010000125.1,ENSGALG00010000125.1,0
ENSGALG00010000126.1,ENSGALG00010000126.1,2
ENSGALG00010000127.1,ENSGALG00010000127.1,5
ENSGALG00010000133.1,USP39,18
ENSGALG00010000134.1,ENSGALG00010000134.1,53
ENSGALG00010000137.1,ENSGALG00010000137.1,0
ENSGALG00010000138.1,ENSGALG00010000138.1,0
ENSGALG00010000140.1,SEPHS3,8
ENSGALG00010000141.1,ENSGALG00010000141.1,508.998
ENSGALG00010000142.1,ENSGALG00010000142.1,0
ENSGALG00010000143.1,SCARF2,147
ENSGALG00010000144.1,ENSGALG00010000144.1,0
ENSGALG00010000145.1,ENSGALG00010000145.1,3884
ENSGALG00010000146.1,ACADM,0
ENSGALG00010000147.1,ENSGALG00010000147.1,48.457
ENSGALG00010000148.1,ENSGALG00010000148.1,14
ENSGALG00010000149.1,ENSGALG00010000149.1,8
ENSGALG00010000150.1,B3GAT3,0
ENSGALG00010000151.1,TBX5,0
ENSGALG00010000152.1,ENSGALG00010000152.1,2
ENSGALG00010000153.1,NF2,80
ENSGALG00010000154.1,ENSGALG00010000154.1,35.03
ENSGALG00010000155.1,MAZ,0
ENSGALG00010000156.1,ENSGALG00010000156.1,0
ENSGALG00010000157.1,ENSGALG00010000157.1,0
ENSGALG00010000159.1,ENSGALG00010000159.1,1.026
ENSGALG00010000161.1,CDC42EP2,1
ENSGALG00010000166.1,PFDN6,5
ENSGALG00010000167.1,ENSGALG00010000167.1,0
ENSGALG00010000171.1,DPF2,18
ENSGALG00010000172.1,ENSGALG00010000172.1,29.698
ENSGALG00010000173.1,NIPSNAP1,9
ENSGALG00010000174.1,ENSGALG00010000174.1,174
ENSGALG00010000175.1,ENSGALG00010000175.1,0
ENSGALG00010000176.1,ENSGALG00010000176.1,5
ENSGALG00010000177.1,ENSGALG00010000177.1,57
ENSGALG00010000178.1,ENSGALG00010000178.1,0
ENSGALG00010000180.1,ENSGALG00010000180.1,344.711
ENSGALG00010000184.1,ENSGALG00010000184.1,0
ENSGALG00010000185.1,ENSGALG00010000185.1,28.408
ENSGALG00010000186.1,THOC5,305
ENSGALG00010000188.1,ENSGALG00010000188.1,4.669
ENSGALG00010000189.1,ENSGALG00010000189.1,6
ENSGALG00010000190.1,ENSGALG00010000190.1,1.633
ENSGALG00010000191.1,NEFH,3
ENSGALG00010000192.1,ENSGALG00010000192.1,1.47
ENSGALG00010000196.1,KSR2,0
ENSGALG00010000197.1,ENSGALG00010000197.1,12.009
ENSGALG00010000198.1,ENSGALG00010000198.1,0
ENSGALG00010000200.1,GAL3ST1,1
ENSGALG00010000201.1,ENSGALG00010000201.1,7
ENSGALG00010000202.1,ENSGALG00010000202.1,0
ENSGALG00010000203.1,ENSGALG00010000203.1,9.458
ENSGALG00010000204.1,ENSGALG00010000204.1,0
ENSGALG00010000205.1,RNF215,35
ENSGALG00010000206.1,ENSGALG00010000206.1,0
ENSGALG00010000210.1,CCDC157,25
ENSGALG00010000211.1,ENSGALG00010000211.1,0
ENSGALG00010000213.1,ENSGALG00010000213.1,0
ENSGALG00010000215.1,SF3A1,125
ENSGALG00010000221.1,TBC1D10A,57
ENSGALG00010000223.1,CASTOR1,4
ENSGALG00010000224.1,MYBPC2,3
ENSGALG00010000225.1,LIF,10
ENSGALG00010000226.1,ENSGALG00010000226.1,4
ENSGALG00010000227.1,ENSGALG00010000227.1,0
ENSGALG00010000228.1,ENSGALG00010000228.1,0
ENSGALG00010000229.1,ENSGALG00010000229.1,0
ENSGALG00010000230.1,ENSGALG00010000230.1,0
ENSGALG00010000231.1,ENSGALG00010000231.1,7.409
ENSGALG00010000232.1,ENSGALG00010000232.1,3
ENSGALG00010000233.1,HORMAD2,3
ENSGALG00010000234.1,ENSGALG00010000234.1,0
ENSGALG00010000235.1,ENSGALG00010000235.1,0
ENSGALG00010000238.1,ENSGALG00010000238.1,1.041
ENSGALG00010000239.1,ENSGALG00010000239.1,0
ENSGALG00010000241.1,ENSGALG00010000241.1,1.642
ENSGALG00010000242.1,ENSGALG00010000242.1,6.327
ENSGALG00010000244.1,ENSGALG00010000244.1,1
ENSGALG00010000246.1,ENSGALG00010000246.1,0
ENSGALG00010000247.1,ENSGALG00010000247.1,152
ENSGALG00010000248.1,ENSGALG00010000248.1,0.359
ENSGALG00010000252.1,ENSGALG00010000252.1,0
ENSGALG00010000254.1,ENSGALG00010000254.1,0
ENSGALG00010000255.1,ENSGALG00010000255.1,96
ENSGALG00010000256.1,ENSGALG00010000256.1,0
ENSGALG00010000258.1,ENSGALG00010000258.1,0
ENSGALG00010000261.1,ENSGALG00010000261.1,0
ENSGALG00010000262.1,HNRNPKL,36.759
ENSGALG00010000263.1,MTMR3,3182
ENSGALG00010000266.1,ENSGALG00010000266.1,3.58
ENSGALG00010000267.1,ENSGALG00010000267.1,46
ENSGALG00010000269.1,ENSGALG00010000269.1,0
ENSGALG00010000270.1,ENSGALG00010000270.1,0
ENSGALG00010000271.1,RTN4R,0
ENSGALG00010000272.1,ENSGALG00010000272.1,1
ENSGALG00010000275.1,ENSGALG00010000275.1,0
ENSGALG00010000277.1,ENSGALG00010000277.1,0
ENSGALG00010000279.1,ENSGALG00010000279.1,1
ENSGALG00010000280.1,ENSGALG00010000280.1,0
ENSGALG00010000281.1,OSBP2,884.008
ENSGALG00010000283.1,ENSGALG00010000283.1,0
ENSGALG00010000284.1,ENSGALG00010000284.1,1
ENSGALG00010000285.1,MYLPF,0
ENSGALG00010000286.1,TCN2,0
ENSGALG00010000287.1,IQCD,0
ENSGALG00010000288.1,VARS2,5
ENSGALG00010000289.1,QPRT,0
ENSGALG00010000292.1,ABHD16A,3
ENSGALG00010000293.1,ENSGALG00010000293.1,1.204
ENSGALG00010000294.1,DUSP21,0
ENSGALG00010000295.1,ENSGALG00010000295.1,1
ENSGALG00010000296.1,ENSGALG00010000296.1,0
ENSGALG00010000298.1,SLC35E4,0
ENSGALG00010000301.1,UQCR10,1
ENSGALG00010000302.1,ENSGALG00010000302.1,0
ENSGALG00010000303.1,ENSGALG00010000303.1,14
ENSGALG00010000304.1,ENSGALG00010000304.1,0
ENSGALG00010000306.1,ENSGALG00010000306.1,5
ENSGALG00010000307.1,ZMAT5,31
ENSGALG00010000308.1,ENSGALG00010000308.1,1
ENSGALG00010000309.1,ENSGALG00010000309.1,4.316
ENSGALG00010000312.1,CABP7,0
ENSGALG00010000318.1,ENSGALG00010000318.1,17.192
ENSGALG00010000319.1,ENSGALG00010000319.1,49.609
ENSGALG00010000322.1,ENSGALG00010000322.1,19.838
ENSGALG00010000323.1,AP1B1,502.019
ENSGALG00010000324.1,ENSGALG00010000324.1,4
ENSGALG00010000326.1,ENSGALG00010000326.1,0
ENSGALG00010000331.1,ENSGALG00010000331.1,7
ENSGALG00010000332.1,ENSGALG00010000332.1,0
ENSGALG00010000338.1,ENSGALG00010000338.1,5
ENSGALG00010000339.1,ENSGALG00010000339.1,0
ENSGALG00010000340.1,NAA10,1
ENSGALG00010000341.1,EWSR1,207
ENSGALG00010000345.1,ENSGALG00010000345.1,0
ENSGALG00010000346.1,ENSGALG00010000346.1,1
ENSGALG00010000348.1,ENSGALG00010000348.1,5
ENSGALG00010000349.1,CHIR-IG1-5,5.755
ENSGALG00010000350.1,ENSGALG00010000350.1,830
ENSGALG00010000351.1,ENSGALG00010000351.1,0
ENSGALG00010000353.1,ENSGALG00010000353.1,6
ENSGALG00010000356.1,ENSGALG00010000356.1,0
ENSGALG00010000360.1,ENSGALG00010000360.1,5.549
ENSGALG00010000362.1,ENSGALG00010000362.1,0
ENSGALG00010000363.1,ENSGALG00010000363.1,0
ENSGALG00010000366.1,EMID1,0
ENSGALG00010000367.1,HSD17B10,0
ENSGALG00010000373.1,ENSGALG00010000373.1,0
ENSGALG00010000376.1,ASCC2,106
ENSGALG00010000377.1,ENSGALG00010000377.1,14
ENSGALG00010000381.1,ENSGALG00010000381.1,133.451
ENSGALG00010000382.1,ENSGALG00010000382.1,5
ENSGALG00010000384.1,ENSGALG00010000384.1,43
ENSGALG00010000386.1,ENSGALG00010000386.1,15.121
ENSGALG00010000387.1,DTX1,0
ENSGALG00010000388.1,ENSGALG00010000388.1,3
ENSGALG00010000391.1,ENSGALG00010000391.1,0
ENSGALG00010000402.1,PFKFB1,0
ENSGALG00010000404.1,RASAL1,0
ENSGALG00010000405.1,ENSGALG00010000405.1,9.065
ENSGALG00010000406.1,NSMCE3,2
ENSGALG00010000407.1,WSB2,14
ENSGALG00010000408.1,ENSGALG00010000408.1,0
ENSGALG00010000411.1,ENSGALG00010000411.1,0
ENSGALG00010000412.1,RFC5,0
ENSGALG00010000414.1,ENSGALG00010000414.1,2
ENSGALG00010000422.1,ITIH6,0
ENSGALG00010000423.1,ENSGALG00010000423.1,22
ENSGALG00010000428.1,GNL3L,4
ENSGALG00010000431.1,AIFM3,10
ENSGALG00010000432.1,ENSGALG00010000432.1,39
ENSGALG00010000433.1,ENSGALG00010000433.1,0
ENSGALG00010000434.1,TP53,0
ENSGALG00010000435.1,P2RX6,1
ENSGALG00010000436.1,ENSGALG00010000436.1,158
ENSGALG00010000437.1,ENSGALG00010000437.1,0
ENSGALG00010000440.1,ENSGALG00010000440.1,9
ENSGALG00010000441.1,SLC7A4,134.012
ENSGALG00010000442.1,DGCR6,445
ENSGALG00010000443.1,TBX3,4
ENSGALG00010000444.1,RBM19,77
ENSGALG00010000445.1,LHX5,4
ENSGALG00010000447.1,SDSL,17
ENSGALG00010000448.1,ENSGALG00010000448.1,1
ENSGALG00010000449.1,PLBD2,579
ENSGALG00010000450.1,ENSGALG00010000450.1,1
ENSGALG00010000451.1,ENSGALG00010000451.1,27.939
ENSGALG00010000452.1,SLC8B1,30
ENSGALG00010000453.1,ACHE,7
ENSGALG00010000454.1,ENSGALG00010000454.1,0
ENSGALG00010000457.1,TPCN1,162
ENSGALG00010000458.1,ENSGALG00010000458.1,127
ENSGALG00010000459.1,ENSGALG00010000459.1,0
ENSGALG00010000461.1,ENSGALG00010000461.1,0
ENSGALG00010000462.1,ENSGALG00010000462.1,0
ENSGALG00010000465.1,ENSGALG00010000465.1,11
ENSGALG00010000466.1,FBXO21,27
ENSGALG00010000467.1,RNASEK,21
ENSGALG00010000468.1,TESC,13
ENSGALG00010000469.1,ENSGALG00010000469.1,25.013
ENSGALG00010000470.1,FBXW8,67
ENSGALG00010000471.1,ENSGALG00010000471.1,27
ENSGALG00010000475.1,RNFT2,0
ENSGALG00010000476.1,ENSGALG00010000476.1,0
ENSGALG00010000479.1,C12orf49,1
ENSGALG00010000481.1,ENSGALG00010000481.1,0
ENSGALG00010000483.1,ENSGALG00010000483.1,2
ENSGALG00010000485.1,MED13L,254
ENSGALG00010000486.1,ENSGALG00010000486.1,65.691
ENSGALG00010000491.1,ENSGALG00010000491.1,8
ENSGALG00010000495.1,ENSGALG00010000495.1,4
ENSGALG00010000501.1,ENSGALG00010000501.1,171
ENSGALG00010000502.1,ENSGALG00010000502.1,0
ENSGALG00010000507.1,TRPT1,26
ENSGALG00010000509.1,ENSGALG00010000509.1,0
ENSGALG00010000511.1,FERMT3,73
ENSGALG00010000524.1,ENSGALG00010000524.1,0
ENSGALG00010000525.1,ENSGALG00010000525.1,0
ENSGALG00010000526.1,POLD1,0
ENSGALG00010000529.1,STIP1,186
ENSGALG00010000530.1,ENSGALG00010000530.1,0.998
ENSGALG00010000532.1,ENSGALG00010000532.1,0
ENSGALG00010000546.1,FLRT1,2
ENSGALG00010000555.1,OTUB1,9
ENSGALG00010000561.1,ENSGALG00010000561.1,1
ENSGALG00010000564.1,NAA40,44
ENSGALG00010000569.1,SIPA1,16
ENSGALG00010000571.1,ENSGALG00010000571.1,0
ENSGALG00010000574.1,ENSGALG00010000574.1,262.856
ENSGALG00010000575.1,ENSGALG00010000575.1,7
ENSGALG00010000576.1,NOS1,0
ENSGALG00010000577.1,ENSGALG00010000577.1,2.603
ENSGALG00010000578.1,ENSGALG00010000578.1,5
ENSGALG00010000579.1,ENSGALG00010000579.1,0
ENSGALG00010000580.1,ENSGALG00010000580.1,0
ENSGALG00010000581.1,ENSGALG00010000581.1,20.999
ENSGALG00010000583.1,CCS,109
ENSGALG00010000584.1,RBM14,31
ENSGALG00010000585.1,SPTBN2,35.004
ENSGALG00010000586.1,ENSGALG00010000586.1,35.143
ENSGALG00010000589.1,ENSGALG00010000589.1,9.397
ENSGALG00010000590.1,DNAH5,0
ENSGALG00010000591.1,SBK2,13
ENSGALG00010000592.1,CCT5,346
ENSGALG00010000593.1,ATPSCKMT,40
ENSGALG00010000594.1,ENSGALG00010000594.1,0
ENSGALG00010000595.1,MYO10,1
ENSGALG00010000596.1,ENSGALG00010000596.1,0
ENSGALG00010000597.1,CDH9,0
ENSGALG00010000598.1,ENSGALG00010000598.1,0
ENSGALG00010000599.1,RETREG1,0
ENSGALG00010000600.1,ENSGALG00010000600.1,0
ENSGALG00010000601.1,ENSGALG00010000601.1,0
ENSGALG00010000602.1,ENSGALG00010000602.1,0
ENSGALG00010000603.1,ZNF622,40
ENSGALG00010000604.1,ENSGALG00010000604.1,1.257
ENSGALG00010000605.1,MARCHF11,0
ENSGALG00010000606.1,UBE2QL1,0
ENSGALG00010000607.1,ENSGALG00010000607.1,0
ENSGALG00010000608.1,ENSGALG00010000608.1,0
ENSGALG00010000609.1,ENSGALG00010000609.1,4
ENSGALG00010000610.1,ENSGALG00010000610.1,11
ENSGALG00010000611.1,C7orf57,0
ENSGALG00010000612.1,ENSGALG00010000612.1,0
ENSGALG00010000613.1,ENSGALG00010000613.1,61.001
ENSGALG00010000614.1,KAT8,25
ENSGALG00010000615.1,ENSGALG00010000615.1,0
ENSGALG00010000616.1,PSENEN,5
ENSGALG00010000617.1,ENSGALG00010000617.1,0
ENSGALG00010000618.1,ENSGALG00010000618.1,6.482
ENSGALG00010000619.1,ENSGALG00010000619.1,0
ENSGALG00010000620.1,ENSGALG00010000620.1,0
ENSGALG00010000621.1,UPP1,0
ENSGALG00010000622.1,ENSGALG00010000622.1,4.527
ENSGALG00010000623.1,ENSGALG00010000623.1,2
ENSGALG00010000624.1,ENSGALG00010000624.1,0
ENSGALG00010000625.1,ENSGALG00010000625.1,12
ENSGALG00010000626.1,ABCA13,0
ENSGALG00010000627.1,ENSGALG00010000627.1,7
ENSGALG00010000628.1,ENSGALG00010000628.1,0
ENSGALG00010000629.1,ENSGALG00010000629.1,6
ENSGALG00010000630.1,ENSGALG00010000630.1,0
ENSGALG00010000631.1,ENSGALG00010000631.1,1
ENSGALG00010000632.1,ENSGALG00010000632.1,0
ENSGALG00010000633.1,VWC2,0
ENSGALG00010000634.1,ENSGALG00010000634.1,55
ENSGALG00010000635.1,ENSGALG00010000635.1,10
ENSGALG00010000636.1,ENSGALG00010000636.1,1
ENSGALG00010000637.1,ENSGALG00010000637.1,0.359
ENSGALG00010000638.1,ENSGALG00010000638.1,0
ENSGALG00010000639.1,SCN1B,327.998
ENSGALG00010000640.1,ENSGALG00010000640.1,0
ENSGALG00010000641.1,ENSGALG00010000641.1,0
ENSGALG00010000642.1,ZPBP1,0
ENSGALG00010000643.1,VKORC1,0
ENSGALG00010000644.1,SPMIP7,0
ENSGALG00010000645.1,ENSGALG00010000645.1,0
ENSGALG00010000646.1,ENSGALG00010000646.1,0
ENSGALG00010000647.1,ENSGALG00010000647.1,0
ENSGALG00010000648.1,ENSGALG00010000648.1,0
ENSGALG00010000649.1,PAPD7,10
ENSGALG00010000650.1,BCKDK,38
ENSGALG00010000651.1,ENSGALG00010000651.1,173.991
ENSGALG00010000652.1,SRD5A1,0
ENSGALG00010000653.1,NSUN2,4
ENSGALG00010000654.1,ENSGALG00010000654.1,0
ENSGALG00010000655.1,ENSGALG00010000655.1,1.15
ENSGALG00010000656.1,ENSGALG00010000656.1,32
ENSGALG00010000659.1,ENSGALG00010000659.1,0
ENSGALG00010000660.1,ENSGALG00010000660.1,37
ENSGALG00010000661.1,ENSGALG00010000661.1,0
ENSGALG00010000665.1,ENSGALG00010000665.1,0
ENSGALG00010000670.1,ENSGALG00010000670.1,0
ENSGALG00010000674.1,GRB10,4
ENSGALG00010000678.1,ENSGALG00010000678.1,0
ENSGALG00010000679.1,ENSGALG00010000679.1,0
ENSGALG00010000680.1,ENSGALG00010000680.1,0
ENSGALG00010000681.1,ENSGALG00010000681.1,0
ENSGALG00010000682.1,ENSGALG00010000682.1,0
ENSGALG00010000684.1,COBL,2
ENSGALG00010000685.1,ENSGALG00010000685.1,0
ENSGALG00010000686.1,ENSGALG00010000686.1,13
ENSGALG00010000687.1,IKZF1,37
ENSGALG00010000688.1,ENSGALG00010000688.1,0
ENSGALG00010000689.1,ENSGALG00010000689.1,0
ENSGALG00010000695.1,FIGNL1,0
ENSGALG00010000697.1,ENSGALG00010000697.1,56.76
ENSGALG00010000702.1,DDC,1
ENSGALG00010000704.1,ENSGALG00010000704.1,3.231
ENSGALG00010000705.1,ENSGALG00010000705.1,0
ENSGALG00010000708.1,ENSGALG00010000708.1,0
ENSGALG00010000709.1,ENSGALG00010000709.1,0.359
ENSGALG00010000710.1,ENSGALG00010000710.1,1.24
ENSGALG00010000711.1,SPRY2,0
ENSGALG00010000712.1,ENSGALG00010000712.1,12
ENSGALG00010000713.1,ENSGALG00010000713.1,0
ENSGALG00010000714.1,FBXL7,0
ENSGALG00010000715.1,PCDH20,0
ENSGALG00010000716.1,ENSGALG00010000716.1,6.208
ENSGALG00010000717.1,NDFIP2,5
ENSGALG00010000718.1,EEF1G,58
ENSGALG00010000719.1,ENSGALG00010000719.1,0
ENSGALG00010000720.1,RBM26,245
ENSGALG00010000721.1,ENSGALG00010000721.1,2.267
ENSGALG00010000722.1,ANKH,19
ENSGALG00010000723.1,ENSGALG00010000723.1,0
ENSGALG00010000724.1,OBI1,0
ENSGALG00010000725.1,ENSGALG00010000725.1,0
ENSGALG00010000726.1,POU4F1,0
ENSGALG00010000727.1,ENSGALG00010000727.1,0
ENSGALG00010000728.1,OTULIN,0
ENSGALG00010000729.1,EDNRB,0
ENSGALG00010000730.1,INTS5,113
ENSGALG00010000731.1,ENSGALG00010000731.1,0
ENSGALG00010000732.1,ENSGALG00010000732.1,9
ENSGALG00010000733.1,ENSGALG00010000733.1,0
ENSGALG00010000734.1,SLAIN1,0
ENSGALG00010000735.1,ENSGALG00010000735.1,1.533
ENSGALG00010000737.1,ENSGALG00010000737.1,5.974
ENSGALG00010000741.1,FAM105A,0
ENSGALG00010000753.1,TRIO,3
