Symbol,Ensemble,AT276_LM1,JV47_LM1,AT276_DM17,JV47_DM17
MVP,ENSGALG00000000238,1061,1347,1253,1296
FBN3,ENSGALG00000000327,0,1,1,2
TIMM44,ENSGALG00000000352,545,767,559,621
HNRNPM,ENSGALG00000000377,4471,5700,4014,4199
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
NA,ENSGALG00000000346,640,967,1188,1175
ZNF302,ENSGALG00000018772,144,301,233,340
ZNF302,ENSGALG00000018772,144,301,233,340
ZNF302,ENSGALG00000018772,144,301,233,340
ZNF302,ENSGALG00000018772,144,301,233,340
ZNF302,ENSGALG00000018772,144,301,233,340
ZNF302,ENSGALG00000018772,144,301,233,340
GAS7,ENSGALG00000000368,2,1,0,3
PRF1,ENSGALG00000021211,96,7,3,2
NA,ENSGALG00000000407,8,17,15,30
NA,ENSGALG00000021212,125,178,128,206
ANKMY1,ENSGALG00000024040,82,78,69,58
ANKMY1,ENSGALG00000024040,82,78,69,58
ANKMY1,ENSGALG00000024040,82,78,69,58
LSM7,ENSGALG00000000408,862,1465,987,1166
SPPL2C,ENSGALG00000000430,380,426,326,310
NA,ENSGALG00000009151,29,21,10,32
NA,ENSGALG00000009151,29,21,10,32
TMPRSS9,ENSGALG00000000458,14,17,18,8
TMPRSS9,ENSGALG00000000458,14,17,18,8
TIMM13,ENSGALG00000028937,954,1268,827,878
NA,ENSGALG00000009123,7,7,7,6
LMNB2,ENSGALG00000000470,1917,1814,1083,1192
DPP7,ENSGALG00000009105,399,474,632,777
RPL36,ENSGALG00000000474,3498,5073,4098,4662
LONP1,ENSGALG00000000490,1740,2183,1567,1854
NA,ENSGALG00000009120,26,47,49,78
MAN1B1,ENSGALG00000009079,1216,1097,794,804
SLC1A6,ENSGALG00000000558,18,9,1,2
UAP1L1,ENSGALG00000009090,45,51,26,39
SAPCD2,ENSGALG00000009060,113,129,103,129
SAPCD2,ENSGALG00000009060,113,129,103,129
ENTPD2,ENSGALG00000009058,0,0,1,0
TMEM141,ENSGALG00000009054,216,149,164,123
RANBP3,ENSGALG00000000577,810,930,677,712
CLIC3,ENSGALG00000026027,99,49,9,9
ABCA2,ENSGALG00000001226,1,1,0,1
ABCA2,ENSGALG00000001226,1,1,0,1
NA,ENSGALG00000026541,105,127,45,86
NA,ENSGALG00000026541,105,127,45,86
NA,ENSGALG00000021692,887,1009,856,1042
NA,ENSGALG00000021693,62,58,30,29
NA,ENSGALG00000021693,62,58,30,29
BTN1A1,ENSGALG00000000589,9,3,2,6
MARCHF2,ENSGALG00000000599,108,62,55,54
RAB11B,ENSGALG00000000613,1189,1000,824,911
ANGPTL4,ENSGALG00000000619,281,332,712,854
KANK3,ENSGALG00000000621,3,0,0,0
KANK3,ENSGALG00000000621,3,0,0,0
NPDC1,ENSGALG00000009039,3,0,7,1
RPS28,ENSGALG00000024398,4581,7806,9251,9917
EXFABP,ENSGALG00000024011,0,0,0,1
CD320,ENSGALG00000021688,67,73,63,86
CD320,ENSGALG00000021688,67,73,63,86
C8G,ENSGALG00000024004,9,20,15,11
NA,ENSGALG00000026161,10,3,6,9
ADMP,ENSGALG00000028044,1,1,0,0
FBXW5,ENSGALG00000008966,1186,1159,813,871
TRAF2,ENSGALG00000009014,209,221,222,223
EDF1,ENSGALG00000009008,1856,2510,1704,1791
MAMDC4,ENSGALG00000008995,1,2,1,1
MAMDC4,ENSGALG00000008995,1,2,1,1
MAMDC4,ENSGALG00000008995,1,2,1,1
MAMDC4,ENSGALG00000008995,1,2,1,1
ELAVL1,ENSGALG00000000726,949,1005,849,884
ELAVL1,ENSGALG00000000726,949,1005,849,884
PHPT1,ENSGALG00000021242,436,567,376,466
MATK,ENSGALG00000000736,75,74,81,111
AJM1,ENSGALG00000028823,1,3,4,3
AJM1,ENSGALG00000028823,1,3,4,3
AJM1,ENSGALG00000028823,1,3,4,3
RABL6,ENSGALG00000008984,722,1030,949,948
RABL6,ENSGALG00000008984,722,1030,949,948
RAX2,ENSGALG00000013431,1,0,0,0
PCASP2,ENSGALG00000027961,8,13,4,7
EXD3,ENSGALG00000008959,45,55,65,42
EXD3,ENSGALG00000008959,45,55,65,42
MRPL54,ENSGALG00000027611,443,494,425,407
MYH1C,ENSGALG00000027177,0,0,0,2
APBA3,ENSGALG00000000740,231,309,264,370
APBA3,ENSGALG00000000740,231,309,264,370
NA,ENSGALG00000008936,2,2,1,8
TJP3,ENSGALG00000000748,16,30,35,50
PIP5K1C,ENSGALG00000000784,275,280,235,183
MYH1C,ENSGALG00000028612,0,3,0,5
NDOR1,ENSGALG00000008920,155,252,197,238
SCO1,ENSGALG00000013382,599,540,502,568
TMEM220,ENSGALG00000028751,195,215,236,273
MAP2K4,ENSGALG00000001001,310,353,288,264
CACTIN,ENSGALG00000024391,1043,1500,1021,1201
ELAC2,ENSGALG00000001036,744,881,746,764
DNAH9,ENSGALG00000001111,0,1,1,1
TBXA2R,ENSGALG00000027241,309,154,25,20
GIPC1,ENSGALG00000028029,17,14,11,16
NDEL1,ENSGALG00000001163,347,359,277,261
NDEL1,ENSGALG00000001163,347,359,277,261
MYH10,ENSGALG00000001183,709,825,752,760
MYH10,ENSGALG00000001183,709,825,752,760
NTN1,ENSGALG00000023626,0,2,1,2
STX8,ENSGALG00000001238,445,631,512,611
HMG20B,ENSGALG00000027838,1366,1697,1567,1483
NA,ENSGALG00000001244,43,20,50,11
NA,ENSGALG00000001261,3,1,1,1
USP43,ENSGALG00000017417,11,33,5,27
ARHGAP44,ENSGALG00000001311,1,5,3,3
ARHGAP44,ENSGALG00000001311,1,5,3,3
NA,ENSGALG00000001323,6,7,0,0
NA,ENSGALG00000001323,6,7,0,0
POLE3,ENSGALG00000008873,1018,1027,677,930
BSPRY,ENSGALG00000008861,0,0,5,2
BSPRY,ENSGALG00000008861,0,0,5,2
TVP23B,ENSGALG00000001335,826,870,627,692
WDR31,ENSGALG00000008859,2,0,0,0
TEKT3,ENSGALG00000001348,0,0,2,1
PMP22,ENSGALG00000026262,776,711,498,424
NA,ENSGALG00000023609,7,9,8,14
PRPF4,ENSGALG00000008857,460,518,423,495
COX10,ENSGALG00000001375,405,386,321,355
MFSD12,ENSGALG00000000795,1808,1617,987,1530
MFSD12,ENSGALG00000000795,1808,1617,987,1530
METRNL,ENSGALG00000028354,3,0,0,0
B3GNTL1,ENSGALG00000001433,57,110,66,106
TBCD,ENSGALG00000001503,1970,1837,2142,1600
TBCD,ENSGALG00000001503,1970,1837,2142,1600
FZR1,ENSGALG00000002085,485,539,453,507
FZR1,ENSGALG00000002085,485,539,453,507
CDC26,ENSGALG00000026095,158,244,191,192
SLC31A1,ENSGALG00000008844,498,543,293,329
ZNF750,ENSGALG00000001518,1,1,2,2
FN3K,ENSGALG00000001531,17,32,18,27
FN3KRP,ENSGALG00000028979,634,656,651,600
NA,ENSGALG00000022149,214,186,134,154
NA,ENSGALG00000022149,214,186,134,154
RAB40B,ENSGALG00000001545,36,42,36,59
DOHH,ENSGALG00000017524,626,777,606,779
FKBP15,ENSGALG00000008838,487,612,535,498
FKBP15,ENSGALG00000008838,487,612,535,498
FKBP15,ENSGALG00000008838,487,612,535,498
WDR45B,ENSGALG00000001563,1000,1425,1156,1247
FOXK2,ENSGALG00000001577,1144,1532,1332,1310
FOXK2,ENSGALG00000001591,46,90,59,98
NARF,ENSGALG00000001603,1168,1396,1462,1717
CYBC1,ENSGALG00000001607,364,285,260,232
HEXD,ENSGALG00000001612,100,195,116,235
OGFOD3,ENSGALG00000001618,365,320,394,360
OGFOD3,ENSGALG00000001618,365,320,394,360
LRSAM1,ENSGALG00000008819,496,623,482,578
SEPTIN9,ENSGALG00000001656,17,12,56,36
TNRC6C,ENSGALG00000001725,1187,1295,827,976
RPL12,ENSGALG00000008806,9709,15764,17567,19330
SEC14L1,ENSGALG00000001684,2689,2885,1888,2145
MGAT5B,ENSGALG00000001740,14,14,13,16
MFSD11,ENSGALG00000001777,373,517,423,487
SRSF2,ENSGALG00000017357,2610,3512,2330,2956
METTL23,ENSGALG00000001790,1561,1766,1151,1537
JMJD6,ENSGALG00000001802,876,691,346,414
NA,ENSGALG00000001805,66,65,87,72
NA,ENSGALG00000001805,66,65,87,72
NA,ENSGALG00000001805,66,65,87,72
NA,ENSGALG00000001805,66,65,87,72
ST6GALNAC1,ENSGALG00000001862,6,29,30,41
ST6GALNAC2,ENSGALG00000001883,3,6,0,3
CYGB,ENSGALG00000001892,0,10,4,15
RHBDF2,ENSGALG00000001943,2031,1911,1898,1984
RHBDF2,ENSGALG00000001943,2031,1911,1898,1984
RHBDF2,ENSGALG00000001943,2031,1911,1898,1984
ZMYND19,ENSGALG00000008798,379,409,258,330
DPH7,ENSGALG00000008750,269,282,288,301
DPH7,ENSGALG00000008750,269,282,288,301
DPH7,ENSGALG00000008750,269,282,288,301
PNPLA7,ENSGALG00000008736,631,907,1064,991
AANAT,ENSGALG00000001955,11,19,4,7
UBE2O,ENSGALG00000001971,1076,1188,1049,925
UBE2O,ENSGALG00000001971,1076,1188,1049,925
UBE2O,ENSGALG00000001971,1076,1188,1049,925
NSMF,ENSGALG00000008681,5,1,4,2
SPHK1,ENSGALG00000023541,130,61,104,53
PRPSAP1,ENSGALG00000021539,289,408,414,432
NA,ENSGALG00000029174,496,542,310,519
ANAPC2,ENSGALG00000008630,403,704,716,703
ANAPC2,ENSGALG00000008630,403,704,716,703
ANAPC2,ENSGALG00000008630,403,704,716,703
ANAPC2,ENSGALG00000008625,952,1204,1176,1239
GNA11,ENSGALG00000003238,410,442,354,364
NA,ENSGALG00000013378,4,5,10,32
RNF157,ENSGALG00000002008,6,7,2,4
DDR2L,ENSGALG00000008616,14,6,6,5
EXOC7,ENSGALG00000002050,702,1091,940,1019
EXOC7,ENSGALG00000002050,702,1091,940,1019
EXOC7,ENSGALG00000002050,702,1091,940,1019
EXOC7,ENSGALG00000002050,702,1091,940,1019
TUBB4B,ENSGALG00000008586,6854,7027,4345,5127
NA,ENSGALG00000023909,2,3,0,1
NCLN,ENSGALG00000013369,716,694,589,639
NELFB,ENSGALG00000008532,673,832,757,828
NA,ENSGALG00000027147,14,15,13,33
GALR2,ENSGALG00000002088,1,0,1,0
SRP68,ENSGALG00000002062,1138,1359,1219,1213
NA,ENSGALG00000008518,4321,5806,4221,5167
CELF5,ENSGALG00000026716,0,0,1,1
CELF5,ENSGALG00000026716,0,0,1,1
NA,ENSGALG00000002108,0,0,2,0
ARRDC1,ENSGALG00000008475,1443,1369,949,1220
HSD11B1L,ENSGALG00000012860,93,139,141,203
HSD11B1L,ENSGALG00000012860,93,139,141,203
EHMT1,ENSGALG00000008472,938,1257,880,1006
EHMT1,ENSGALG00000008472,938,1257,880,1006
CDK3,ENSGALG00000008462,1,0,0,0
TEN1,ENSGALG00000002116,22,29,70,41
ACOX1,ENSGALG00000002159,573,678,556,610
MICOS13,ENSGALG00000026847,572,740,511,656
NA,ENSGALG00000013365,1134,1639,1021,1491
FBF1,ENSGALG00000002179,322,532,503,495
CACNA1B,ENSGALG00000008456,11,1,0,1
CACNA1B,ENSGALG00000008456,11,1,0,1
CACNA1B,ENSGALG00000008456,11,1,0,1
CACNA1B,ENSGALG00000008456,11,1,0,1
NA,ENSGALG00000001948,1552,2429,1563,2024
NA,ENSGALG00000001948,1552,2429,1563,2024
MRPL38,ENSGALG00000002194,907,1227,1254,1293
NA,ENSGALG00000028301,1481,2143,2210,2156
WBP2,ENSGALG00000002219,374,294,298,309
UNC13D,ENSGALG00000002234,633,726,799,1057
NIBAN2,ENSGALG00000023872,7,0,0,0
NIBAN2,ENSGALG00000023872,7,0,0,0
UNK,ENSGALG00000002278,345,492,455,446
UNK,ENSGALG00000002278,345,492,455,446
STXBP1,ENSGALG00000007196,36,21,8,18
MPND,ENSGALG00000027354,2,1,2,2
MPND,ENSGALG00000027354,2,1,2,2
ZBTB7A,ENSGALG00000025907,517,522,305,431
PIAS4,ENSGALG00000001836,358,459,433,483
ATP6V1G1,ENSGALG00000007190,1004,1167,821,1037
EEF2,ENSGALG00000001830,35134,50463,52547,53504
EEF2,ENSGALG00000001830,35134,50463,52547,53504
H3,ENSGALG00000002286,3552,5326,4799,4981
H3,ENSGALG00000002286,3552,5326,4799,4981
NA,ENSGALG00000027936,227,338,243,268
NA,ENSGALG00000002290,0,0,1,0
ITGB4,ENSGALG00000002389,85,165,171,123
GALK1,ENSGALG00000002311,72,154,176,140
NMRK2,ENSGALG00000025751,1045,1055,455,864
SAP30BP,ENSGALG00000002415,272,319,236,275
RECQL5,ENSGALG00000002424,225,237,209,185
TMEM268,ENSGALG00000007186,14,6,2,6
SMIM5,ENSGALG00000002427,121,253,225,154
NA,ENSGALG00000002444,168,139,90,100
NA,ENSGALG00000002444,168,139,90,100
ATCAY,ENSGALG00000001812,116,147,101,206
ATCAY,ENSGALG00000001812,116,147,101,206
TNC,ENSGALG00000007113,0,21,1,18
TNC,ENSGALG00000007113,0,21,1,18
TNC,ENSGALG00000007113,0,21,1,18
TNC,ENSGALG00000007113,0,21,1,18
TNC,ENSGALG00000007113,0,21,1,18
TNC,ENSGALG00000007113,0,21,1,18
TNC,ENSGALG00000007113,0,21,1,18
TNC,ENSGALG00000007113,0,21,1,18
CSNK1D,ENSGALG00000002719,1297,1192,1130,1062
SLC16A3,ENSGALG00000002728,3320,3200,2521,2414
FASN,ENSGALG00000002747,12144,8944,5120,4709
FASN,ENSGALG00000002747,12144,8944,5120,4709
PAPPA,ENSGALG00000007079,1,0,0,0
NRTN,ENSGALG00000021647,0,0,0,1
DUS3L,ENSGALG00000001800,364,438,338,410
DUS3L,ENSGALG00000001800,364,438,338,410
DUS3L,ENSGALG00000001800,364,438,338,410
GPS1,ENSGALG00000002827,1426,1792,1435,1414
RFNG,ENSGALG00000002841,470,829,802,909
ASTN2,ENSGALG00000007038,1,4,0,0
DCXR,ENSGALG00000002849,178,232,206,237
RAC3,ENSGALG00000002859,199,266,257,283
LRRC45,ENSGALG00000002877,279,464,387,420
ASPSCR1,ENSGALG00000002889,749,858,808,858
NOTUM,ENSGALG00000002900,84,255,132,201
PYCR1,ENSGALG00000002923,193,191,136,185
NME2,ENSGALG00000002932,8569,12578,10776,10140
MBTD1,ENSGALG00000002954,268,296,249,250
UTP18,ENSGALG00000002985,705,804,689,715
CA10,ENSGALG00000002993,65,89,63,11
RFX2,ENSGALG00000001773,60,46,38,44
TOM1L1,ENSGALG00000003011,2,1,1,0
COX11,ENSGALG00000027190,361,352,274,316
STXBP4,ENSGALG00000003033,11,13,12,9
STXBP4,ENSGALG00000003033,11,13,12,9
CDK5RAP2,ENSGALG00000006971,762,816,543,569
CDK5RAP2,ENSGALG00000006971,762,816,543,569
CDK5RAP2,ENSGALG00000006971,762,816,543,569
CDK5RAP2,ENSGALG00000006971,762,816,543,569
CDK5RAP2,ENSGALG00000006971,762,816,543,569
CDK5RAP2,ENSGALG00000006971,762,816,543,569
HLF,ENSGALG00000003059,373,701,522,601
MMD,ENSGALG00000003078,733,371,405,332
ACSBG2,ENSGALG00000001749,3003,1613,1454,2149
ACSBG2,ENSGALG00000001749,3003,1613,1454,2149
PCTP,ENSGALG00000003099,3,2,6,1
MLLT1,ENSGALG00000001596,358,358,247,274
DGKE,ENSGALG00000003131,193,210,121,157
TRIM25,ENSGALG00000003144,151,134,163,109
ACER1,ENSGALG00000001592,1,0,1,1
COIL,ENSGALG00000003158,475,550,456,405
COIL,ENSGALG00000003158,475,550,456,405
ANP32B,ENSGALG00000001580,7968,10640,8111,8640
SCPEP1,ENSGALG00000003185,711,800,730,654
NA,ENSGALG00000023838,7,0,4,2
ZNF414,ENSGALG00000024378,232,303,297,285
NA,ENSGALG00000006958,4,0,1,1
MYO1F,ENSGALG00000001571,2,4,4,2
RAB11FIP4,ENSGALG00000003227,0,1,1,0
UTP6,ENSGALG00000003260,813,1095,792,930
SUZ12,ENSGALG00000003277,564,711,455,571
CRLF3,ENSGALG00000003284,1678,1824,1657,1744
ATAD5,ENSGALG00000003294,761,927,576,816
ADAMTS10,ENSGALG00000001544,559,808,713,766
ZAP70,ENSGALG00000001486,0,0,0,1
ADAP2,ENSGALG00000003319,152,125,53,91
SLC25A25,ENSGALG00000005095,226,271,206,222
RHOT1,ENSGALG00000003397,739,841,649,698
NA,ENSGALG00000000803,0,0,0,1
NAIF1,ENSGALG00000027734,306,452,453,418
C17orf75,ENSGALG00000003434,776,833,834,817
FAM102A,ENSGALG00000005074,461,529,390,381
OAZ1,ENSGALG00000000812,3006,3195,2249,2388
NA,ENSGALG00000000819,1,0,1,0
NA,ENSGALG00000000819,1,0,1,0
DPM2,ENSGALG00000005066,218,203,184,180
AMH,ENSGALG00000024368,0,1,4,4
ST6GALNAC4,ENSGALG00000005063,165,41,60,30
ST6GALNAC6,ENSGALG00000005298,54,13,20,3
SF3A2,ENSGALG00000021679,1288,1529,1059,1211
ZNF207,ENSGALG00000003454,2539,3130,1976,2668
AK1,ENSGALG00000029150,156,61,102,58
ENG,ENSGALG00000005060,316,0,442,0
PLEKHJ1,ENSGALG00000000835,420,476,364,408
FPGS,ENSGALG00000005051,503,439,425,439
FPGS,ENSGALG00000005051,503,439,425,439
DOT1L,ENSGALG00000000843,3327,3526,3049,3128
AP3D1,ENSGALG00000000996,1927,2253,2154,2084
AP3D1,ENSGALG00000000996,1927,2253,2154,2084
AP3D1,ENSGALG00000000996,1927,2253,2154,2084
ERN1,ENSGALG00000003476,303,349,272,338
CDK9,ENSGALG00000005045,560,660,571,607
SH2D3C,ENSGALG00000005036,3,0,5,2
SH2D3C,ENSGALG00000005036,3,0,5,2
TOR2A,ENSGALG00000026424,232,197,241,217
NA,ENSGALG00000004992,24,45,64,69
NA,ENSGALG00000004992,24,45,64,69
NA,ENSGALG00000004992,24,45,64,69
NA,ENSGALG00000004992,24,45,64,69
TEX2,ENSGALG00000003496,376,403,204,300
URM1,ENSGALG00000004971,1162,1901,1759,1951
PECAM1,ENSGALG00000003515,756,1137,167,600
SLC27A4,ENSGALG00000004965,853,768,466,464
MOB3A,ENSGALG00000010442,999,1139,723,823
MKNK2,ENSGALG00000003845,476,821,1089,1119
MKNK2,ENSGALG00000003845,476,821,1089,1119
COQ4,ENSGALG00000004927,398,490,394,414
COQ4,ENSGALG00000004927,398,490,394,414
NA,ENSGALG00000021461,139,134,73,73
POLG2,ENSGALG00000003520,206,348,316,397
TRUB2,ENSGALG00000004920,367,451,338,380
BTBD2,ENSGALG00000001019,188,288,279,285
DDX5,ENSGALG00000003532,8797,9274,8961,8770
CSNK1G2,ENSGALG00000027540,885,1002,752,759
CEP95,ENSGALG00000003540,348,452,307,334
SMURF2,ENSGALG00000003566,220,368,321,253
KPNA2,ENSGALG00000003584,4725,5236,3661,4705
C17orf58,ENSGALG00000003590,736,707,573,669
NA,ENSGALG00000004881,492,868,604,593
NA,ENSGALG00000004881,492,868,604,593
NA,ENSGALG00000004881,492,868,604,593
BPTF,ENSGALG00000003627,1541,1673,1212,1446
BPTF,ENSGALG00000003627,1541,1673,1212,1446
BPTF,ENSGALG00000003627,1541,1673,1212,1446
BPTF,ENSGALG00000003627,1541,1673,1212,1446
SCAMP4,ENSGALG00000001030,752,727,639,683
NA,ENSGALG00000001035,1,4,0,0
DNM1,ENSGALG00000004852,1780,2401,1636,2090
NA,ENSGALG00000014589,1527,1905,1544,1573
ABHD17A,ENSGALG00000018810,1264,1555,1142,1271
REXO1,ENSGALG00000001043,883,1114,884,945
REXO1,ENSGALG00000001043,883,1114,884,945
BBLN,ENSGALG00000004783,490,688,738,666
PTGES2,ENSGALG00000004779,385,326,271,242
ATP8B3,ENSGALG00000001084,23,24,10,15
ODF2,ENSGALG00000004767,972,1129,1079,987
ODF2,ENSGALG00000004767,972,1129,1079,987
NOL11,ENSGALG00000028883,454,558,522,425
GLE1,ENSGALG00000004738,531,672,541,529
GLE1,ENSGALG00000004738,531,672,541,529
NA,ENSGALG00000003668,94,57,44,56
PSMD12,ENSGALG00000003700,749,733,545,584
HELZ,ENSGALG00000021439,285,289,211,372
SPTAN1,ENSGALG00000004719,8081,9697,7296,8105
PRKCA,ENSGALG00000003943,182,328,410,279
APOH,ENSGALG00000003957,4,21,7,12
CEP112,ENSGALG00000003975,455,583,388,371
ONECUT3,ENSGALG00000028081,12,19,18,22
TCF3,ENSGALG00000001093,1943,2821,2872,2578
TCF3,ENSGALG00000001093,1943,2821,2872,2578
AXIN2,ENSGALG00000004021,67,159,66,154
UQCR11,ENSGALG00000001096,969,770,671,702
RGS9,ENSGALG00000004060,104,96,94,80
MBD3,ENSGALG00000001101,517,388,323,308
MIER2,ENSGALG00000001108,177,197,173,163
SH3GL1,ENSGALG00000001121,420,581,456,556
CHAF1A,ENSGALG00000001126,636,771,429,659
UBXN6,ENSGALG00000001146,172,164,145,151
HDGFRP2,ENSGALG00000027068,1093,1485,1411,1288
GNA13,ENSGALG00000028440,946,744,511,679
SLC16A6,ENSGALG00000004162,96,32,60,43
ARSG,ENSGALG00000004193,101,124,194,161
WIPI1,ENSGALG00000004215,366,461,492,463
PLIN4,ENSGALG00000021972,36,14,66,60
PRKAR1A,ENSGALG00000004237,2299,1988,1521,1438
FAM20A,ENSGALG00000004183,1,0,0,1
NA,ENSGALG00000021399,0,0,0,1
NA,ENSGALG00000021395,1,3,0,2
ABCA5,ENSGALG00000004333,1593,1648,1259,1416
MAP2K6,ENSGALG00000004370,73,63,54,41
SLC39A11,ENSGALG00000004413,207,229,186,196
ANKRD24,ENSGALG00000001235,5,11,12,17
SIRT6,ENSGALG00000001245,482,732,700,767
DYNC2I2,ENSGALG00000004702,150,287,172,234
CREB3L3,ENSGALG00000001252,2,0,2,3
MAP2K2,ENSGALG00000001267,1018,1140,818,861
COG1,ENSGALG00000004429,272,537,477,544
COG1,ENSGALG00000004429,272,537,477,544
NA,ENSGALG00000001289,2,0,0,0
NA,ENSGALG00000001289,2,0,0,0
SET,ENSGALG00000004701,6260,8683,6907,7378
FAM104A,ENSGALG00000026401,234,265,185,228
NA,ENSGALG00000004439,101,171,214,214
NA,ENSGALG00000004439,101,171,214,214
PKN1,ENSGALG00000004689,70,29,20,20
PKN1,ENSGALG00000004689,70,29,20,20
PKN1,ENSGALG00000004689,70,29,20,20
PKN1,ENSGALG00000004689,70,29,20,20
PKN1,ENSGALG00000004689,70,29,20,20
PKN1,ENSGALG00000004689,70,29,20,20
PKN1,ENSGALG00000004689,70,29,20,20
NA,ENSGALG00000004441,10,15,9,16
NA,ENSGALG00000004441,10,15,9,16
CDC42EP4,ENSGALG00000023364,2,0,0,0
SDK2,ENSGALG00000004464,0,0,1,0
RPL38,ENSGALG00000001465,5903,8527,6288,6989
NA,ENSGALG00000001317,656,739,650,796
TTYH2,ENSGALG00000026940,354,845,1226,1316
TPGS1,ENSGALG00000026780,87,107,105,109
CDC34,ENSGALG00000024332,106,167,157,125
NA,ENSGALG00000004495,22,50,32,80
BSG,ENSGALG00000001328,3276,4530,4509,4903
ZDHHC12,ENSGALG00000004664,446,489,451,487
ZER1,ENSGALG00000004659,675,729,641,658
KIF19,ENSGALG00000004502,0,3,2,2
POLRMT,ENSGALG00000001377,712,913,674,722
FGF22,ENSGALG00000001385,1,1,0,0
FGF22,ENSGALG00000001385,1,1,0,0
BTBD17,ENSGALG00000023359,4,10,35,20
GPR142,ENSGALG00000022536,26,46,80,54
GPRC5C,ENSGALG00000021362,11,16,26,26
RNF126,ENSGALG00000001399,949,1170,1101,1203
NA,ENSGALG00000004505,480,674,524,509
NA,ENSGALG00000004505,480,674,524,509
PDE6G,ENSGALG00000004514,13,17,17,6
TSPAN10,ENSGALG00000004525,3,3,1,1
NPLOC4,ENSGALG00000004583,2064,2895,2284,2459
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
NA,ENSGALG00000001898,111,231,438,305
SPOUT1,ENSGALG00000004622,1,0,0,1
SPOUT1,ENSGALG00000004622,1,0,0,1
