Gene.name	Human.gene.name
ND1	MT-ND1
ND2	MT-ND2
COX1	MT-CO1
COX2	MT-CO2
ATP6	MT-ATP6
COX3	MT-CO3
ND3	MT-ND3
ND4	MT-ND4
ND5	MT-ND5
CYTB	MT-CYB
ND6	MT-ND6
PDIA3	PDIA3
CKMT1B	CKMT1A
CKMT1B	CKMT1B
PPIP5K1	PPIP5K1
MAP1A	MAP1A
TP53BP1	TP53BP1
TUBGCP4	TUBGCP4
IQGAP3	IQGAP1
MAN2A2	MAN2A2
FES	FES
CIB1	CIB1
GDPGP1	GDPGP1
TTLL6	TTLL13
HDDC3	HDDC3
VPS33B	VPS33B
PRC1	PRC1
UNC45A	UNC45A
FURIN	FURIN
MFAP1	MFAP1
HYPK	HYPK
SERINC4	SERINC4
SERF2	SERF2
	FLNC
	VAX2
	SYN1
	OR14I1
	OR14A16
	OR14A2
	OR14L1
	OR14J1
	OR14K1
ALDOA	ALDOA
TLCD3B	TLCD3B
PIP4P1	PIP4P1
	PNP
	JPH2
INPPL1	INPPL1
	ARHGEF1
CACNA1F	CACNA1F
	PRRT1
	APEX1
MRPS24	MRPS24
	OSGEP
PPT2	PPT2
USP39	USP39
IKBKG	IKBKG
	SFTPB
SEPHS3	SEPHS2
	CHD3
	SLC22A8
SCARF2	SCARF2
PRODH	PRODH
ACADM	ACADM
	CDIPT
	GANAB
B3GAT3	B3GAT3
TBX5	TBX5
PRODH2	PRODH2
NF2	NF2
MAZ	MAZ
CDC42EP2	CDC42EP2
PFDN6	PFDN6
DPF2	DPF2
	B3GALT4
NIPSNAP1	NIPSNAP1
	EIF3C
	EIF3CL
	AZGP1
	FCGRT
THOC5	THOC5
	RUSF1
NEFH	NEFH
	KLRC4
	OLR1
	CLEC2B
	KLRC3
	KLRC2
	CLEC2A
	CLEC1A
	KLRF2
	KLRC1
	KLRD1
	CLEC1B
	CLEC12B
	KLRG2
KSR2	KSR2
GAL3ST1	GAL3ST1
SEC14L2	SEC14L2
