human_gene	chicken_gene
MT-ND1	ND1
MT-ND2	ND2
MT-CO1	COX1
MT-CO2	COX2
MT-ATP6	ATP6
MT-CO3	COX3
MT-ND3	ND3
MT-ND4	ND4
MT-ND5	ND5
MT-ND6	ND6
MT-CYB	CYTB
RNA5-8SN5	5_8S_rRNA
5_8S_rRNA	5_8S_rRNA
	PRODH
	DGCR6
MAFIP	MAFIP
	MRPL23
RNA5-8SN4	5_8S_rRNA
U1	U1
	FRG1BP
RNU6-109P	U6
RNU6-184P	U6
CDY2A	CDYL
DAZ4	DAZL
CDY2B	CDYL
RPS4Y1	RPS4Y1
DAZ3	DAZL
DAZ1	DAZL
TBL1Y	TBLX1
DAZ2	DAZL
RPS4Y2	RPS4Y1
PCDH11Y	PCDH11X
CDY1B	CDYL
CDY1	CDYL
NLGN4Y	NLGN4
DDX3Y	DDX3X
USP9Y	USP9Y
UTY	KDM6A
ZFY	ZFX
EIF1AY	EIF1AX
TMPRSS15	TMPRSS15
NCAM2	NCAM2
CLDN8	CLDN8
MORC3	MORC4
CHODL	CHODL
RNA5-8SN3	5_8S_rRNA
RNA5-8SN1	5_8S_rRNA
RNA5-8SN2	5_8S_rRNA
RNU6-113P	U6
CBR1	CBR3
SIM2	SIM2
RIPPLY3	RIPPLY3
RRP1B	RRP1B
AGPAT3	AGPAT3
RNU6-1150P	U6
TPTE	TPTE
PCP4	PCP4
DSCAM	DSCAM
RIPK4	RIPK4
TFF2	TFF3
UBASH3A	UBASH3A
CFAP410	CFAP410
UMODL1	UMODL1
IGSF5	IGSF5
MCM3AP	MCM3AP
MZT1	MZT1
KLHL1	KLHL1
TTC3	TTC3
FREM2	FREM2
POU4F1	POU4F1
NHLRC3	NHLRC3
OLFM4	OLFM4
DIAPH3	DIAPH3
MIR99A	gga-mir-99a
MIRLET7C	MIRLET7C
MIR125B2	gga-mir-125b-2
PCNT	PCNT
SON	SON
PCDH17	PCDH17
LRCH1	LRCH1
SLITRK6	SLITRK6
SOX1	SOX1
MYO16	MYO16
NRIP1	NRIP1
RCAN1	RCAN1
IRS2	IRS2
NALF1	NALF1
UBL3	UBL3
GRIK1	GRIK1
MIR15A	gga-mir-15a
ZAR1L	ZAR1L
MRPS6	MRPS6
RFXAP	RFXAP
	SLC5A3
SIAH3	SIAH3
SLC5A3	SLC5A3
KCNE2	KCNE2
SLITRK1	SLITRK1
CYYR1	CYYR1
RAP2A	RAP2A
CRYAA	CRYAA
SHISA2	SHISA2
FRY	FRY
UTP14C	UTP14A
GPR18	GPR18
TNFSF13B	TNFSF13B
ATP8A2	ATP8A2
SACS	SACS
AKAIN1	AKAIN1
SLC14A2	SLC14A2
KCTD12	KCTD12
CLN5	CLN5
CTAGE1	MIA2
SERPINE3	SERPINE3
ST8SIA3	ST8SIA3L
ST8SIA3	ST8SIA3
METTL21C	METTL21C
SLC10A2	SLC10A2
BOD1L2	BOD1
HNRNPA1L2	HNRNPA1
CDH7	CDH7
ZIC2	ZIC2
ZIC5	ZIC5
GSX1	GSX1
MC4R	MC4R
NBEA	NBEA
CDH20	CDH20
C18orf21	C18orf21
SLC39A6	SLC39A6
FGF9	FGF9
RNU1-16P	U1
MBP	MBP
TPTE2	TPTE
TNFSF11	TNFSF11
ALG11	ALG11
PCDH20	PCDH20
RNF17	RNF17
NDFIP2	NDFIP2
MIR187	gga-mir-187
ATP4B	ATP4B
DLEU7	DLEU7
SLAIN1	SLAIN1
SNORD58C	SNORD58
ONECUT2	ONECUT2
MIR122	gga-mir-122-1
MIR122	gga-mir-122-2
PTPRM	PTPRM
KL	KL
PCDH8	PCDH8
DACH1	DACH1
RNU1-24P	U1
NUFIP1	NUFIP1
APCDD1	APCDD1
KCTD4	KCTD4
PABPC3	PABPC1
AMER2	AMER2
BCL2	BCL2
CIDEA	CIDEA
DSC3	DSC1
DSC1	DSC1
ACOD1	ACOD1
GPC6	GPC6
DSG1	DSG4
DCT	DCT
SOX21	SOX21
HS6ST3	HS6ST3
NFATC1	NFATC1
TUBA3C	TUBA3E
GPC5	GPC5
URAD	URAH
C1QTNF9B	C1QTNF9B
BRCA2	BRCA2
ING1	ING1
GTF3A	GTF3A
RNF113B	RNF113B
LAMA3	LAMA3
SNORD102	SNORD102
GNAL	GNAL
MEP1B	MEP1B
LOXHD1	LOXHD1
SERPINB4	OVALX
SERPINB4	OVALY
SERPINB4	OVAL
SERPINB11	SERPINB12
DIPK1C	FAM69C
C18orf63	C18orf63
PRELID3A	PRELID3A
RAB12	RAB12
ELOA2	TCEB3
TXNL4A	TXNL4A
RBFA	RBFA
WDR7	WDR7
CETN1	CETN1L
CETN1	CETN2
PIEZO2	PIEZO2
MC5R	MC5R
MIR133A1	gga-mir-133a-1
MIR1-2	gga-mir-1a-2
GRP	GRP
RAX	RAX
CPLX4	CPLX4
SIGLEC15	SIGLEC15
ASXL3	ASXL3
C21orf140	C21orf140
CLUL1	CLUL1
SERPINB10	SERPINB2
CHMP1B	CHMP1B
TSHZ1	TSHZ1
ZNF236	ZNF236
MIR155	gga-mir-155
GET1	WRB
PTGR3	ZADH2
DLGAP1	DLGAP1
ITSN1	ITSN1
ADRA1D	ADRA1D
INSM1	INSM1
ROCK1	ROCK1
BTBD3	BTBD3
ISM1	ISM1
SCRT2	SCRT2
FAM83D	FAM83D
KCNB1	KCNB1
MC3R	MC3R
CBLN4	CBLN3
RBBP8NL	RBBP8NL
PMEPA1	PMEPA1
SALL4	SALL4
BHLHE23	BHLHE23
CDH4	CDH4
SS18L1	SS18L1
LAMA5	LAMA5
RNU1-23P	U1
MIR1-1	gga-mir-1a-1
MIR133A2	gga-mir-133a-1
RBPJL	RBPJL
TUBB1	TUBB1
FTCD	FTCD
FITM2	FITM2
Y_RNA	Y_RNA
GTSF1L	GTSF2
OTOR	CTAGE1
R3HDML	R3HDML
NCF4	NCF4
MIR124-3	gga-mir-124c
BIRC7	BIRC7
NKAIN4	NKAIN4
PWP2	PWP2
CHRNA4	CHRNA4
CACNA1I	CACNA1I
MKKS	MKKS
COL6A1	COL6A1
XKR7	XKR7
PLAGL2	PLAGL2
OXT	OXT
ICOSLG	ICOSLG
AVP	OXT
OVOL2	OVOL3
HLCS	HLCS
CLDN14	CLDN14
SNX21	SNX21
ABCG1	ABCG1
LIF	LIF
TRIOBP	TRIOBP
PROKR2	PROKR1
TOP1	TOP1
MAFB	MAFB
PKDREJ	PKDREJ
SHISAL1	KIAA1644
SIK1	SIK1
SNORD83A	SNORD83A
RUNX1	RUNX1
CRYBA4	CRYBA4
TNNC2	TNNC2
C2CD2	C2CD2
NTSR1	NTSR1
MIR103A2	gga-mir-103-2
FAM210B	FAM210B
MYO18B	MYO18B
ZNFX1	ZNFX1
IL10RB	IL10RB
MOCS3	MOCS3
HCK	HCK
TCP10L	TCP10
RBM11	RBM11
TRPM2	TRPM2
SOX12	SOX12
PCDH9	PCDH9
NEURL2	NEURL2
SPINT4	SPINT1
TCF15	TCF15
SRMS	PTK6
ZNF831	ZNF831
CBFA2T2	CBFA2T2
MICAL3	MICAL3
HSPA13	HSPA13
LTN1	LTN1
OCSTAMP	OCSTAMP
SLC13A3	SLC13A3
UBE2G2	UBE2G2
GCNT7	GCNT7
SLC12A5	SLC12A5
CELSR1	CELSR1
TRAPPC10	TRAPPC10
PARVB	PARVB
KAT14	KAT14
DHRSX	DHRSX
FAM9B	SYCP3
FAM9A	SYCP3
TGM3	TGM3
TGM6	TGM6
GRPR	GRPR
BEND2	SELENON
BEND2	BEND2
UBE2L5	UBE2L3
TMEM272	TMEM272
SLC32A1	SLC32A1
KLHL34	KLHL34
RTN4R	RTN4R
KCNJ6	KCNJ6
METTL21EP	METTL21EP
CNKSR2	CNKSR2
RRP1	RRP1B
TXNRD2	TXNRD2
TAF4	TAF4
MIR17	gga-mir-17
MIR18A	gga-mir-18a
MIR19A	gga-mir-19a
MIR20A	gga-mir-20a
MIR19B1	gga-mir-19a
MIR92A1	gga-mir-92-1
FASTKD5	FASTKD5
MLNR	MLNR
HMGB1P1	HMGB1
CIMIP1	C20orf85
BPIFB4	BPIFB4
ATP5PO	ATP5O
BPIFB3	BPIL3
FGF14	FGF14
AHCY	AHCY
KLF5	KLF5
RUBCNL	RUBCNL
GINS1	GINS1
DYRK1A	DYRK1A
PANX2	PANX2
SLC15A1	SLC15A1
HMOX1	HMOX1
SPO11	SPO11
CACNG2	CACNG2
RBM38	RBM38
NOL4L	C20orf112
CIMIP4	TEX33
SPATA13	SPATA13
KCNS1	KCNS1
MIR301B	gga-mir-130b
MAGEB17	NSMCE3
PPIL2	PPIL2
MAGEB10	NSMCE3
ITIH6	ITIH6
PAX1	PAX1
MTMR8	MTMR8
EBF4	EBF4
CDKL5	CDKL5
TTLL9	TTLL9
U2AF1	U2AF1
F10	F10
NPBWR2	NPBWR2
YPEL1	YPEL1
SSTR4	SSTR4
EMILIN3	EMILIN3
SAMD10	SAMD10
SNORD125	SNORD125
NEFH	NEFH
GPR183	GPR183
FLT3	FLT3
